Tool;Model;RunIndex;PhaseName;MetricName;MetricValue
NMF_MaxTypeChecks2;GeneratedI8O2Seed68.ttmodel;0;Initialization;Time;547655200
NMF_MaxTypeChecks2;GeneratedI8O2Seed68.ttmodel;0;Initialization;Memory;75366400
NMF_MaxTypeChecks2;GeneratedI8O2Seed68.ttmodel;0;Load;Time;119292200
NMF_MaxTypeChecks2;GeneratedI8O2Seed68.ttmodel;0;Load;Memory;86900736
NMF_MaxTypeChecks2;GeneratedI8O2Seed68.ttmodel;0;Initial;Time;1578246000
NMF_MaxTypeChecks2;GeneratedI8O2Seed68.ttmodel;0;Initial;Memory;170917888
NMF_MaxTypeChecks2;GeneratedI8O4Seed68.ttmodel;0;Initialization;Time;661844200
NMF_MaxTypeChecks2;GeneratedI8O4Seed68.ttmodel;0;Initialization;Memory;75759616
NMF_MaxTypeChecks2;GeneratedI8O4Seed68.ttmodel;0;Load;Time;202381400
NMF_MaxTypeChecks2;GeneratedI8O4Seed68.ttmodel;0;Load;Memory;90570752
NMF_MaxTypeChecks2;GeneratedI8O4Seed68.ttmodel;0;Initial;Time;2116175200
NMF_MaxTypeChecks2;GeneratedI8O4Seed68.ttmodel;0;Initial;Memory;172228608
NMF_MaxTypeChecks2;GeneratedI10O2Seed68.ttmodel;0;Initialization;Time;585583500
NMF_MaxTypeChecks2;GeneratedI10O2Seed68.ttmodel;0;Initialization;Memory;75759616
NMF_MaxTypeChecks2;GeneratedI10O2Seed68.ttmodel;0;Load;Time;797459400
NMF_MaxTypeChecks2;GeneratedI10O2Seed68.ttmodel;0;Load;Memory;144834560
NMF_MaxTypeChecks2;GeneratedI10O2Seed68.ttmodel;0;Initial;Time;7164917600
NMF_MaxTypeChecks2;GeneratedI10O2Seed68.ttmodel;0;Initial;Memory;310497280
NMF_MaxTypeChecks2;GeneratedI12O2Seed7634.ttmodel;0;Initialization;Time;548485500
NMF_MaxTypeChecks2;GeneratedI12O2Seed7634.ttmodel;0;Initialization;Memory;75366400
NMF_MaxTypeChecks2;GeneratedI12O2Seed7634.ttmodel;0;Load;Time;2280695300
NMF_MaxTypeChecks2;GeneratedI12O2Seed7634.ttmodel;0;Load;Memory;201592832
NMF_MaxTypeChecks2;GeneratedI12O2Seed7634.ttmodel;0;Initial;Time;43795092600
NMF_MaxTypeChecks2;GeneratedI12O2Seed7634.ttmodel;0;Initial;Memory;860180480
NMF_MaxTypeChecks2;GeneratedI14O4Seed7634.ttmodel;0;Initialization;Time;470576800
NMF_MaxTypeChecks2;GeneratedI14O4Seed7634.ttmodel;0;Initialization;Memory;75628544
NMF_MaxTypeChecks2;GeneratedI14O4Seed7634.ttmodel;0;Load;Time;7206191800
NMF_MaxTypeChecks2;GeneratedI14O4Seed7634.ttmodel;0;Load;Memory;383135744
NMF_MaxTypeChecks2;GeneratedI14O4Seed7634.ttmodel;0;Initial;Time;1523329612800
NMF_MaxTypeChecks2;GeneratedI14O4Seed7634.ttmodel;0;Initial;Memory;2051809280
NMF_MaxTypeChecks3;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;720368800
NMF_MaxTypeChecks3;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;75628544
NMF_MaxTypeChecks3;GeneratedI4O2Seed42.ttmodel;0;Load;Time;29658900
NMF_MaxTypeChecks3;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;77201408
NMF_MaxTypeChecks3;GeneratedI4O2Seed42.ttmodel;0;Initial;Time;221785300
NMF_MaxTypeChecks3;GeneratedI4O2Seed42.ttmodel;0;Initial;Memory;81526784
NMF_MaxTypeChecks3;GeneratedI8O2Seed68.ttmodel;0;Initialization;Time;471455500
NMF_MaxTypeChecks3;GeneratedI8O2Seed68.ttmodel;0;Initialization;Memory;75104256
NMF_MaxTypeChecks3;GeneratedI8O2Seed68.ttmodel;0;Load;Time;117756000
NMF_MaxTypeChecks3;GeneratedI8O2Seed68.ttmodel;0;Load;Memory;86376448
NMF_MaxTypeChecks3;GeneratedI8O2Seed68.ttmodel;0;Initial;Time;1479865200
NMF_MaxTypeChecks3;GeneratedI8O2Seed68.ttmodel;0;Initial;Memory;170524672
NMF_MaxTypeChecks3;GeneratedI8O4Seed68.ttmodel;0;Initialization;Time;467704900
NMF_MaxTypeChecks3;GeneratedI8O4Seed68.ttmodel;0;Initialization;Memory;75497472
NMF_MaxTypeChecks3;GeneratedI8O4Seed68.ttmodel;0;Load;Time;123061600
NMF_MaxTypeChecks3;GeneratedI8O4Seed68.ttmodel;0;Load;Memory;89522176
NMF_MaxTypeChecks3;GeneratedI8O4Seed68.ttmodel;0;Initial;Time;1548353800
NMF_MaxTypeChecks3;GeneratedI8O4Seed68.ttmodel;0;Initial;Memory;170655744
NMF_MaxTypeChecks3;GeneratedI10O2Seed68.ttmodel;0;Initialization;Time;450406300
NMF_MaxTypeChecks3;GeneratedI10O2Seed68.ttmodel;0;Initialization;Memory;75366400
NMF_MaxTypeChecks3;GeneratedI10O2Seed68.ttmodel;0;Load;Time;489995300
NMF_MaxTypeChecks3;GeneratedI10O2Seed68.ttmodel;0;Load;Memory;144179200
NMF_MaxTypeChecks3;GeneratedI10O2Seed68.ttmodel;0;Initial;Time;6088434200
NMF_MaxTypeChecks3;GeneratedI10O2Seed68.ttmodel;0;Initial;Memory;308985856
NMF_MaxTypeChecks3;GeneratedI12O2Seed7634.ttmodel;0;Initialization;Time;460727500
NMF_MaxTypeChecks3;GeneratedI12O2Seed7634.ttmodel;0;Initialization;Memory;75759616
NMF_MaxTypeChecks3;GeneratedI12O2Seed7634.ttmodel;0;Load;Time;1954818900
NMF_MaxTypeChecks3;GeneratedI12O2Seed7634.ttmodel;0;Load;Memory;201957376
NMF_MaxTypeChecks3;GeneratedI12O2Seed7634.ttmodel;0;Initial;Time;39490083400
NMF_MaxTypeChecks3;GeneratedI12O2Seed7634.ttmodel;0;Initial;Memory;859615232
NMF_MaxTypeChecks3;GeneratedI14O4Seed7634.ttmodel;0;Initialization;Time;417909700
NMF_MaxTypeChecks3;GeneratedI14O4Seed7634.ttmodel;0;Initialization;Memory;75497472
NMF_MaxTypeChecks3;GeneratedI14O4Seed7634.ttmodel;0;Load;Time;7162146400
NMF_MaxTypeChecks3;GeneratedI14O4Seed7634.ttmodel;0;Load;Memory;385323008
NMF_MaxTypeChecks3;GeneratedI14O4Seed7634.ttmodel;0;Initial;Time;1581443696300
NMF_MaxTypeChecks3;GeneratedI14O4Seed7634.ttmodel;0;Initial;Memory;2013069312
NMF_MaxTypeChecks4;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;692648700
NMF_MaxTypeChecks4;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;74973184
NMF_MaxTypeChecks4;GeneratedI4O2Seed42.ttmodel;0;Load;Time;29347200
